#time	id	x[m]	y[m]	speed[m/s]	heading	acc[m/s^2]
253.00	265	380.88	2.00	2.84		0.00	0.20
253.00	264	374.12	1.00	1.99		0.00	0.19
253.00	254	368.84	0.00	1.10		0.00	0.35
253.00	204	364.01	2.00	1.56		0.00	0.16
253.00	267	360.59	1.00	0.99		0.00	0.22
253.00	257	359.26	0.00	0.05		0.00	0.01
253.00	268	351.84	2.00	0.44		0.00	0.09
253.00	260	351.80	0.00	0.01		0.00	-0.01
253.00	262	350.83	1.00	0.09		0.00	-0.03
253.00	263	344.35	0.00	0.06		0.00	-0.03
253.00	207	336.54	0.00	0.28		0.00	-0.16
253.00	205	335.79	2.00	0.01		0.00	-0.00
253.00	208	335.16	1.00	0.04		0.00	-0.02
253.00	266	328.32	2.00	0.05		0.00	-0.02
253.00	216	327.45	1.00	0.16		0.00	-0.08
253.00	269	324.47	0.00	3.93		0.00	-2.39
253.00	201	320.55	2.00	0.21		0.00	-0.11
253.00	214	318.56	1.04	1.16		-0.13	-1.15
253.00	202	309.01	1.00	2.08		0.00	-1.36
253.00	217	307.11	2.00	4.66		0.00	-2.30
253.00	200	287.89	0.24	13.32		-0.03	-1.94
253.00	219	281.35	2.00	11.83		0.00	-3.01
253.00	213	273.25	0.00	12.88		0.00	-1.03
253.00	211	230.95	1.00	14.98		0.00	-0.57
253.00	220	225.21	2.00	17.02		0.00	-0.31
253.00	203	205.35	0.00	16.56		0.00	-0.08
253.00	206	173.44	1.00	15.36		0.00	0.22
253.00	226	163.94	2.00	16.61		0.00	0.34
253.00	222	144.68	0.00	16.05		0.00	0.28
253.00	228	122.56	1.00	14.64		0.00	0.22
253.00	229	107.79	2.00	15.97		0.00	0.39
253.00	225	86.65	0.00	15.21		0.00	0.19
253.00	210	76.45	1.00	14.09		0.00	0.30
253.00	232	59.35	2.00	15.14		0.00	0.17
253.00	231	28.75	0.00	14.41		0.00	0.23
253.00	209	27.73	1.00	13.12		0.00	0.14
253.00	215	4.99	2.00	14.36		0.00	0.38
254.00	221	785.97	1.00	12.22		0.00	0.26
254.00	212	770.70	0.00	13.54		0.00	0.33
254.00	235	766.75	2.00	13.72		0.00	0.34
254.00	223	749.53	1.00	11.23		0.00	0.17
254.00	238	724.06	2.00	12.74		0.00	0.30
254.00	218	715.68	1.00	11.18		0.00	0.29
254.00	234	714.14	0.00	12.36		0.00	0.37
254.00	242	687.63	2.00	11.87		0.00	0.28
254.00	224	677.01	1.00	11.33		0.00	0.26
254.00	237	663.25	0.00	11.40		0.00	0.41
254.00	249	651.64	2.00	11.42		0.00	0.12
254.00	240	631.15	1.00	10.82		0.00	0.11
254.00	227	616.10	0.00	10.24		0.00	0.40
254.00	244	613.85	2.00	10.73		0.00	0.29
254.00	230	581.65	1.00	9.61		0.00	0.15
254.00	250	576.13	2.00	9.99		0.00	0.16
254.00	236	573.03	0.00	9.05		0.00	0.14
254.00	243	543.41	1.00	8.54		0.00	0.25
254.00	233	537.40	0.00	8.03		0.00	0.18
254.00	253	536.95	2.00	8.98		0.00	0.20
